Title,Duration,YearofRelease,IMDbRating,Description
Casablanca,1h 42m,1943,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
Alien,1h 57m,1979,8.5,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
Nuovo Cinema Paradiso,2h 54m,1990,8.5,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater&apos;s film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema."
The Prestige,2h 10m,2006,8.5,Rival 19th-century magicians engage in a bitter battle for trade secrets.
Hotaru no haka,1h 28m,1989,8.5,A young boy and his little sister struggle to survive in Japan during World War II.
The Usual Suspects,1h 46m,1995,8.5,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
Raiders of the Lost Ark,1h 55m,1981,8.4,"In 1936, archaeologist Indiana Jones is tasked by Army Intelligence to help locate a legendary ancient power, the Ark of Covenant, before the Nazis get it first."
Sunset Boulevard,1h 50m,1950,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
Apocalypse Now,2h 27m,1979,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
The Shining,2h 26m,1980,8.4,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future."
The Great Dictator,2h 5m,1941,8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel&apos;s regime.
Das Boot,2h 29m,1982,8.4,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
Paths of Glory,1h 28m,1957,8.4,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.
Amadeus,2h 40m,1984,8.4,"The life and work of Wolfgang Amadeus Mozart seen through the eyes of his contemporary and rival, Antonio Salieri."
Witness for the Prosecution,1h 56m,1958,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
Aliens,2h 17m,1986,8.4,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
Citizen Kane,1h 59m,1941,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: &apos;Rosebud.&apos;"
Mononoke-hime,2h 13m,1997,8.3,"While seeking to cure himself of a curse, young warrior Ashitaka stumbles into a conflict between the people of Iron Town and Princess Mononoke, a girl raised by wolves, who will stop at nothing to prevent the destruction of her h..."
Singin&apos; in the Rain,1h 43m,1952,8.3,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
Star Wars: Episode VI - Return of the Jedi,2h 11m,1983,8.3,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1h 35m,1964,8.3,"A mentally unstable American general orders a hydrogen bomb attack on the Soviet Union, triggering a path to global nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
Double Indemnity,1h 47m,1944,8.3,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator."
Ikiru,2h 23m,1956,8.3,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
Braveheart,2h 58m,1995,8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
Lawrence of Arabia,3h 47m,2013,8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
M - Eine Stadt sucht einen Mörder,1h 39m,1931,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
North by Northwest,2h 16m,1959,8.3,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
Heat,2h 50m,1995,8.3,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.
The Apartment,2h 5m,1960,8.3,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters."
2001: A Space Odyssey,2h 29m,1968,8.3,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins."
Idi i smotri,2h 22m,1985,8.3,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
To Kill a Mockingbird,2h 9m,1963,8.3,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.
Eternal Sunshine of the Spotless Mind,1h 48m,2004,8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
Requiem for a Dream,1h 42m,2000,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
Reservoir Dogs,1h 39m,1992,8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
Dial M for Murder,1h 45m,1954,8.2,"A London playboy plots the perfect murder of his rich, unfaithful Wife."
The Thing,1h 49m,1982,8.2,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
Taxi Driver,1h 54m,1976,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
The Sting,2h 9m,1973,8.2,Two grifters team up to pull off the ultimate con.
Vertigo,2h 8m,1958,8.2,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
A Clockwork Orange,2h 16m,1972,8.2,Alex DeLarge and his droogs barbarize a decaying near-future.
Ladri di biciclette,1h 29m,1949,8.2,"In post-war Italy, a working-class man&apos;s bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
Full Metal Jacket,1h 56m,1987,8.2,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
Snatch,1h 42m,2001,8.2,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Monty Python and the Holy Grail,1h 31m,1975,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
Yôjinbô,1h 50m,1961,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
Tôkyô monogatari,2h 17m,1972,8.1,"An old couple visit their children and grandchildren in the city, but receive little attention."
Rashômon,1h 28m,1951,8.1,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai&apos;s ghost and a woodcutter."
Barry Lyndon,3h 5m,1975,8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband&apos;s aristocratic position in 18th-century England.
Mr. Smith Goes to Washington,2h 9m,1939,8.1,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his c..."
It Happened One Night,1h 45m,1934,8.1,A rogue reporter trailing a runaway heiress for a big story joins her on a bus heading from Florida to New York and they end up stuck with each other when the bus leaves them behind at one of the stops along the way.
The Deer Hunter,3h 3m,1979,8.1,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
The Third Man,1h 44m,1950,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
The Bridge on the River Kwai,2h 41m,1957,8.1,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
Rebecca,2h 10m,1940,8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat&apos;s wife and avoiding being intimidated by his first wife&apos;s spectral presence.
Cool Hand Luke,2h 7m,1967,8.0,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform."
Stalker,2h 42m,1980,8.0,A guide leads two men through an area known as the Zone to find a room that grants wishes.
The Killing,1h 24m,1956,7.9,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.
Remember the Titans,1h 53m,2000,7.8,"In 1971, Virginia high-school football was everything to the people of Alexandria, but when the school board was forced to integrate an all-Black school with an all-white one, the foundation of football&apos;s tradition was put to the ..."
